Município;IBGE - Código;IBGE - Gentílico;IBGE - Prefeito [2025];IBGE - Área Territorial - km² [2025];IBGE - População no último censo - pessoas [2022];IBGE - Densidade demográfica - hab/km² [2022];IBGE - População estimada - pessoas [2026];IBGE - Escolarização 6 a 14 anos - % [2022];IBGE - IDHM [2010];IBGE - Mortalidade infantil - óbitos por mil nascidos vivos [2025];IBGE - Total de receitas brutas realizadas - R$ [2025];IBGE - Total de despesas brutas empenhadas - R$ [2025];IBGE - PIB per capita - R$ [2023];TAXA LESÃO CORPORAL;TAXA AMEAÇA;Possui Delegacia da Mulher?;Possui CAPS?;Quantidade de CAPS;Modalidades de CAPS;Regional de Saúde;Macrorregional de Saúde;LESFEM - Feminicídios consumados 2025;LESFEM - Tentativas de feminicídio 2025;LESFEM - Total de registros 2025;LESFEM - Registros fonte Imprensa 2025;LESFEM - Registros fonte SINESP 2025;SENASP - Feminicídios consumados 2025;SENASP - Tentativas de feminicídio 2025;SENASP - Total vítimas feminicídio/tentativa 2025
CURITIBA;4106902;curitibano;EDUARDO PIMENTEL SLAVIERO;435,406;1773718;4078,53;1832183;98,48;0,823;8,12;14698202927;14541135876;67691,3;242,99;175,91;Sim;Sim;14;"CAPS II; CAPS III; CAPS AD; CAPS AD III; CAPS Infantil";2ª Regional de Saúde - Metropolitana (Curitiba);Leste;19;21;40;28;12;12;25;37
LONDRINA;4113700;londrinense;JOSÉ TIAGO CAMARGO DO AMARAL;1647,796;555965;336,42;584465;98,47;0,778;10,99;3938155556;4214542342;50362,05;234,68;208,62;Sim;Sim;3;"CAPS III; CAPS AD; CAPS Infantil";17ª Regional de Saúde - Londrina;Norte;1;5;6;5;1;1;2;3
CASCAVEL;4104808;cascavelense;RENATO DA SILVA;2094,263;348051;166,44;372026;99,15;0,782;8,35;2241214991;2132841227;55176,33;316,78;252,18;Sim;Sim;4;"CAPS III; CAPS AD; CAPS Infantil; SIMPR (CAPS AD III)";10ª Regional de Saúde - Cascavel;Oeste;4;9;13;12;1;4;5;9
COLOMBO;4105805;colombense;HELDER LUIZ LAZAROTTO;197,369;232212;1175,28;242698;98,49;0,733;12,18;1037699734;1027987752;32853,49;312,79;183,01;Não;Sim;2;"CAPS II; CAPS AD";2ª Regional de Saúde - Metropolitana (Curitiba);Leste;3;4;7;5;2;1;1;2
PONTA GROSSA;4119905;ponta-grossense;ELIZABETH SILVEIRA SCHMIDT;2044,902;358371;174,41;378527;99,12;0,763;8,92;2118843136;1869826766;71387,82;450,14;349,24;Sim;Sim;3;"CAPS II; CAPS AD; CAPS Infantil";3ª Regional de Saúde - Ponta Grossa;Leste;4;9;13;13;0;0;3;3
FOZ DO IGUACU;4108304;iguaçuense;JOAQUIM SILVA E LUNA;606,501;285415;468,51;299112;98,28;0,751;9,33;2267170483;2231385339;59468,67;269,77;194,59;Sim;Sim;2;"CAPS II; CAPS AD";9ª Regional de Saúde - Foz do Iguaçu;Oeste;7;5;12;9;3;3;2;5
SAO JOSE DOS PINHAIS;4125506;são-joseense;MARGARIDA MARIA SINGER;945,509;329628;348,28;353874;99,06;0,758;8,11;2580590888;2390935588;103019,05;319,13;223,06;Sim;Sim;3;"CAPS II; CAPS AD; CAPS Infantil";2ª Regional de Saúde - Metropolitana (Curitiba);Leste;3;2;5;5;0;3;3;6
MARINGA;4115200;maringaense;SILVIO MAGALHAES BARROS II;487,912;409657;841,16;432635;99,3;0,808;7,95;3497693161;3050775629;67903,99;172,58;144,47;Sim;Sim;4;"CAPS II; CAPS III; CAPS AD; CAPS Infantil";15ª Regional de Saúde - Maringá;Noroeste;1;7;8;8;0;1;2;3
PARANAGUA;4118204;parnanguara;ADRIANO RAMOS;821,427;145829;177,23;150436;98,86;0,75;16,4;1277499148;1124542976;104860,51;504,34;348,80;Não;Sim;1;CAPS I;1ª Regional de Saúde - Paranaguá;Leste;3;3;6;5;1;2;3;5
GUARAPUAVA;4109401;guarapuavano;DENILSON BAITALA;3163,893;182093;57,48;190542;98,85;0,731;13,1;1143971739;998543969,1;54170,74;418,25;339,83;Sim;Sim;4;"CAPS II; CAPS AD; SIMPR (CAPS AD III); CAPS Infantil";5ª Regional de Saúde - Guarapuava;Leste;0;7;7;6;1;0;4;4
PIRAQUARA;4119509;piraquarense;MARCUS MAURICIO DE SOUZA TESSEROLLI;225,065;118730;522,94;129035;99,19;0,7;10,3;583128318,6;525721759,6;16015,58;446,85;247,82;Não;Sim;2;"CAPS II; CAPS AD";2ª Regional de Saúde - Metropolitana (Curitiba);Leste;2;3;5;2;3;1;2;3
ALMIRANTE TAMANDARE;4100400;tamandareense;CAMILO DANIEL LOVATO;193,736;119825;616,93;127031;98,36;0,699;14,49;469814308,5;432867643,6;18715,79;322,31;215,88;Não;Sim;1;CAPS II;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;2;3;5;4;1;1;2;3
FAZENDA RIO GRANDE;4107652;fazendense;MARCO ANTONIO MARCONDES SILVA;116,41;148873;1275,93;170123;99,08;0,72;8,04;842879714,4;707851588,6;27805,32;272,80;251,08;Não;Sim;1;CAPS II;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;1;1;0;1;0;1;1
ARAUCARIA;4101804;araucariano;LUIZ GUSTAVO BOTOGOSKI;469,549;151666;323,22;164291;99,26;0,74;9,4;2122533669;1768143609;224671,66;369,17;330,90;Sim;Sim;2;"CAPS II; CAPS AD";2ª Regional de Saúde - Metropolitana (Curitiba);Leste;2;5;7;3;4;1;5;6
PATO BRANCO;4118501;pato-branquense;GERI NATALINO DUTRA;539,154;91836;170,35;99041;98,67;0,782;8,59;735827016,9;670537492,7;63350,93;343,92;181,94;Sim;Sim;1;CAPS II;7ª Regional de Saúde - Pato Branco;Oeste;2;3;5;4;1;1;1;2
FRANCISCO BELTRAO;4108403;beltronense;ANTONIO PEDRON;731,379;96666;131,5;103424;98,78;0,774;11,81;693880249;658221201,5;46814,84;442,18;333,91;Sim;Sim;2;"CAPS II; CAPS AD";8ª Regional de Saúde - Francisco Beltrão;Oeste;3;4;7;6;1;2;2;4
PINHAIS;4119152;pinhaiense;ROSA MARIA DE JESUS COLOMBO;61,008;127019;2086,76;131857;98,66;0,751;12,47;910297638,8;920673932,3;77567,93;407,45;319,17;Não;Sim;2;"CAPS II; CAPS AD";2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;1;1;1;0;0;0;0
CAMPO LARGO;4104204;campo-larguense;MAURICIO ROBERTO RIVABEM;1239,801;136327;109,63;146002;99,35;0,745;12,8;894777800,3;818350242,6;51863,48;266,03;207,98;Não;Sim;2;"CAPS II; CAPS AD";2ª Regional de Saúde - Metropolitana (Curitiba);Leste;1;3;4;3;1;1;1;2
TOLEDO;4127700;toledano;MARIO CESAR COSTENARO;1197,223;150470;125,6;162658;99,68;0,768;11,66;1235679207;1168779403;63192,47;220,50;218,66;Sim;Sim;3;"CAPS II; CAPS AD; SIMPR (CAPS AD III)";20ª Regional de Saúde - Toledo;Oeste;2;0;2;2;0;2;0;2
UMUARAMA;4128104;umuaramense;ANTONIO FERNANDO SCANAVACA;1233,997;117095;94,85;124077;99,19;0,761;13,9;864268791,6;810217868,7;43528,72;219,94;176,57;Sim;Sim;2;"CAPS II; CAPS AD";12ª Regional de Saúde - Umuarama;Noroeste;0;2;2;1;1;0;2;2
MATINHOS;4115705;matinhense;EDUARDO ANTONIO DALMORA;117,479;39259;332,99;42671;98,92;0,743;12,66;378581278,8;314697653,9;29246,91;316,01;190,18;Não;Sim;1;CAPS I;1ª Regional de Saúde - Paranaguá;Leste;1;2;3;2;1;1;1;2
CAMBE;4103701;cambeense;CONRADO ANGELO SCHELLER;499,583;107208;216,42;111553;98,22;0,734;15,36;675580273,3;623183219,9;63159,21;568,65;438,92;Não;Sim;2;"CAPS II; CAPS Infantil";17ª Regional de Saúde - Londrina;Norte;1;1;2;1;1;1;1;2
UNIAO DA VITORIA;4128203;união-vitoriense;ARY CARNEIRO JUNIOR;727,443;55033;76,43;56701;98,74;0,74;8,51;344202402,9;356215245;40400,71;234,71;161,01;Sim;Sim;1;CAPS I;6ª Regional de Saúde - União da Vitória;Leste;1;0;1;1;0;0;0;0
SARANDI;4126256;sarandiense;CARLOS ALBERTO DE PAULA JÚNIOR;103,942;118455;1144,48;130211;97,99;0,695;12,33;606726068,9;493138575,4;20249,8;643,42;485,31;Não;Sim;1;CAPS II;15ª Regional de Saúde - Maringá;Noroeste;1;3;4;4;0;1;1;2
GUARATUBA;4109609;guaratubano;MAURICIO LENSE;1320,951;42062;31,7;45529;98,46;0,717;11,81;1155762112;336228650,6;29027,37;214,44;159,34;Não;Sim;1;CAPS I;1ª Regional de Saúde - Paranaguá;Leste;0;1;1;1;0;0;0;0
APUCARANA;4101408;apucaranense;RODOLFO MOTA DA SILVA;556,771;130134;233,64;135481;99,57;0,748;15,04;739554957,7;675331117,3;37146,42;230,85;210,60;Sim;Sim;2;"CAPS AD; CAPS Infantil";16ª Regional de Saúde - Apucarana;Norte;1;6;7;6;1;0;4;4
ARAPONGAS;4101507;araponguense;RAFAEL FELIPE CITA;383,37;119138;311,7;125767;96,34;0,748;10,62;764425062,6;692792099,7;47973,54;796,67;566,52;Não;Sim;2;"CAPS II; CAPS AD";16ª Regional de Saúde - Apucarana;Norte;1;10;11;9;2;1;7;8
CAMPO MOURAO;4104303;mourãoense;JOÃO DOUGLAS FABRÍCIO;748,054;99432;132,64;104881;99,15;0,757;7,35;766399909,9;716266360,6;60261,36;239,51;226,95;Sim;Sim;2;"CAPS II; CAPS AD";11ª Regional de Saúde - Campo Mourão;Noroeste;2;1;3;3;0;0;0;0
PONTAL DO PARANA;4119954;pontalense;RUDISNEY GIMENES FILHO;202,242;30425;151,81;33730;94,03;0,738;11,33;277495409,9;247018312,5;26613,26;274,31;184,95;Não;Não;0;;1ª Regional de Saúde - Paranaguá;Leste;0;4;4;2;2;0;3;3
PARANAVAI;4118402;paranavaiense;MAURÍCIO GEHLEN;1197,394;92001;76,52;96870;98,33;0,763;10,38;582412420,7;557566945,6;45540,43;609,47;602,44;Sim;Sim;3;"CAPS II; CAPS AD; CAPS Infantil";14ª Regional de Saúde - Paranavaí;Noroeste;1;0;1;1;0;1;0;1
PALMAS;4117602;palmense;DANIEL RICARDO LANGARO;1561,474;48247;30,97;50564;97,91;0,66;17,52;255520292,1;237432831,4;35819,06;394,39;250,83;Não;Sim;1;CAPS I;7ª Regional de Saúde - Pato Branco;Oeste;0;3;3;2;1;0;1;1
ROLANDIA;4122404;rolandense;AILTON APARECIDO MAÍSTRO;456,228;71670;156,14;76671;99,03;0,739;10,5;524577557,3;441230915,2;64220,79;635,12;491,91;Não;Sim;3;"CAPS II; CAPS AD; CAPS Infantil";17ª Regional de Saúde - Londrina;Norte;1;1;2;1;1;1;1;2
CAMPO MAGRO;4104253;campomagrense;RILTON BOZA;275,423;30160;109,53;32227;99,22;0,701;9,46;177432182;159354602,2;23228,87;437,67;208,94;Não;Sim;1;CAPS I;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
MEDIANEIRA;4115804;medianeirense;ANTONIO FRANÇA BENJAMIM;326,67;54369;165,39;58681;90,75;0,763;6,02;383438095,8;349550303,1;55318,22;460,02;285,01;Não;Sim;1;CAPS I;9ª Regional de Saúde - Foz do Iguaçu;Oeste;1;1;2;1;1;1;1;2
IRATI;4110706;iratiense;EMILIANO AUGUSTO ROCHA GOMES;1000,188;59250;59,28;61192;99,85;0,726;10,23;370020324,7;322700932,9;47529,86;243,99;155,14;Não;Sim;1;CAPS II;4ª Regional de Saúde - Irati;Leste;1;0;1;1;0;1;0;1
LAPA;4113205;lapeano;DIEGO TIMBIRUSSU RIBAS;2100,392;45003;21,49;45877;99,21;0,706;5,66;382707093,8;293770343;58830,87;388,09;304,77;Não;Sim;1;CAPS I;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
DOIS VIZINHOS;4107207;duovizinhense;LUIS CARLOS TURATTO;418,162;44869;107,18;48127;99,79;0,767;7,56;363664630,6;347779471,9;58150,9;227,72;206,78;Não;Sim;1;CAPS I;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;1;1;1;0;0;1;1
