uf,municipio,evento,data_referencia,vitima
PR,ABATIÁ,Feminicídio,1/1/2025,0
PR,ABATIÁ,Feminicídio,1/2/2025,0
PR,ABATIÁ,Feminicídio,1/3/2025,0
PR,ABATIÁ,Feminicídio,1/4/2025,0
PR,ABATIÁ,Feminicídio,1/5/2025,0
PR,ABATIÁ,Feminicídio,1/6/2025,0
PR,ABATIÁ,Feminicídio,1/7/2025,0
PR,ABATIÁ,Feminicídio,1/8/2025,0
PR,ABATIÁ,Feminicídio,1/9/2025,0
PR,ABATIÁ,Feminicídio,1/10/2025,0
PR,ABATIÁ,Feminicídio,1/11/2025,0
PR,ABATIÁ,Feminicídio,1/12/2025,0
PR,ABATIÁ,Tentativa de feminicídio,1/1/2025,0
PR,ABATIÁ,Tentativa de feminicídio,1/2/2025,0
PR,ABATIÁ,Tentativa de feminicídio,1/3/2025,0
PR,ABATIÁ,Tentativa de feminicídio,1/4/2025,0
PR,ABATIÁ,Tentativa de feminicídio,1/5/2025,0
PR,ABATIÁ,Tentativa de feminicídio,1/6/2025,0
PR,ABATIÁ,Tentativa de feminicídio,1/7/2025,0
PR,ABATIÁ,Tentativa de feminicídio,1/8/2025,0
PR,ABATIÁ,Tentativa de feminicídio,1/9/2025,1
PR,ABATIÁ,Tentativa de feminicídio,1/10/2025,0
PR,ABATIÁ,Tentativa de feminicídio,1/11/2025,0
PR,ABATIÁ,Tentativa de feminicídio,1/12/2025,0
PR,ADRIANÓPOLIS,Feminicídio,1/1/2025,0
PR,ADRIANÓPOLIS,Feminicídio,1/2/2025,0
PR,ADRIANÓPOLIS,Feminicídio,1/3/2025,0
PR,ADRIANÓPOLIS,Feminicídio,1/4/2025,0
PR,ADRIANÓPOLIS,Feminicídio,1/5/2025,0
PR,ADRIANÓPOLIS,Feminicídio,1/6/2025,0
PR,ADRIANÓPOLIS,Feminicídio,1/7/2025,0
PR,ADRIANÓPOLIS,Feminicídio,1/8/2025,0
PR,ADRIANÓPOLIS,Feminicídio,1/9/2025,0
PR,ADRIANÓPOLIS,Feminicídio,1/10/2025,0
PR,ADRIANÓPOLIS,Feminicídio,1/11/2025,0
PR,ADRIANÓPOLIS,Feminicídio,1/12/2025,0
PR,ADRIANÓPOLIS,Tentativa de feminicídio,1/1/2025,0
PR,ADRIANÓPOLIS,Tentativa de feminicídio,1/2/2025,0
PR,ADRIANÓPOLIS,Tentativa de feminicídio,1/3/2025,0
PR,ADRIANÓPOLIS,Tentativa de feminicídio,1/4/2025,0
PR,ADRIANÓPOLIS,Tentativa de feminicídio,1/5/2025,0
PR,ADRIANÓPOLIS,Tentativa de feminicídio,1/6/2025,0
PR,ADRIANÓPOLIS,Tentativa de feminicídio,1/7/2025,0
PR,ADRIANÓPOLIS,Tentativa de feminicídio,1/8/2025,0
PR,ADRIANÓPOLIS,Tentativa de feminicídio,1/9/2025,0
PR,ADRIANÓPOLIS,Tentativa de feminicídio,1/10/2025,0
PR,ADRIANÓPOLIS,Tentativa de feminicídio,1/11/2025,0
PR,ADRIANÓPOLIS,Tentativa de feminicídio,1/12/2025,0
PR,AGUDOS DO SUL,Feminicídio,1/1/2025,0
PR,AGUDOS DO SUL,Feminicídio,1/2/2025,0
PR,AGUDOS DO SUL,Feminicídio,1/3/2025,0
PR,AGUDOS DO SUL,Feminicídio,1/4/2025,0
PR,AGUDOS DO SUL,Feminicídio,1/5/2025,0
PR,AGUDOS DO SUL,Feminicídio,1/6/2025,0
PR,AGUDOS DO SUL,Feminicídio,1/7/2025,0
PR,AGUDOS DO SUL,Feminicídio,1/8/2025,0
PR,AGUDOS DO SUL,Feminicídio,1/9/2025,0
PR,AGUDOS DO SUL,Feminicídio,1/10/2025,0
PR,AGUDOS DO SUL,Feminicídio,1/11/2025,0
PR,AGUDOS DO SUL,Feminicídio,1/12/2025,0
PR,AGUDOS DO SUL,Tentativa de feminicídio,1/1/2025,0
PR,AGUDOS DO SUL,Tentativa de feminicídio,1/2/2025,0
PR,AGUDOS DO SUL,Tentativa de feminicídio,1/3/2025,0
PR,AGUDOS DO SUL,Tentativa de feminicídio,1/4/2025,0
PR,AGUDOS DO SUL,Tentativa de feminicídio,1/5/2025,0
PR,AGUDOS DO SUL,Tentativa de feminicídio,1/6/2025,0
PR,AGUDOS DO SUL,Tentativa de feminicídio,1/7/2025,0
PR,AGUDOS DO SUL,Tentativa de feminicídio,1/8/2025,0
PR,AGUDOS DO SUL,Tentativa de feminicídio,1/9/2025,0
PR,AGUDOS DO SUL,Tentativa de feminicídio,1/10/2025,0
PR,AGUDOS DO SUL,Tentativa de feminicídio,1/11/2025,0
PR,AGUDOS DO SUL,Tentativa de feminicídio,1/12/2025,0
PR,ALMIRANTE TAMANDARÉ,Feminicídio,1/1/2025,0
PR,ALMIRANTE TAMANDARÉ,Feminicídio,1/2/2025,1
PR,ALMIRANTE TAMANDARÉ,Feminicídio,1/3/2025,0
PR,ALMIRANTE TAMANDARÉ,Feminicídio,1/4/2025,0
PR,ALMIRANTE TAMANDARÉ,Feminicídio,1/5/2025,0
PR,ALMIRANTE TAMANDARÉ,Feminicídio,1/6/2025,0
PR,ALMIRANTE TAMANDARÉ,Feminicídio,1/7/2025,0
PR,ALMIRANTE TAMANDARÉ,Feminicídio,1/8/2025,0
PR,ALMIRANTE TAMANDARÉ,Feminicídio,1/9/2025,0
PR,ALMIRANTE TAMANDARÉ,Feminicídio,1/10/2025,0
PR,ALMIRANTE TAMANDARÉ,Feminicídio,1/11/2025,0
