Identificador,Fonte,Mês,Município,Código do município,Local do crime,Idade da vítima,Vínculo entre vítima e suspeito,Arma ou meio utilizado,Filhos dependentes (informação disponível?),Consumado,Tentado,Consumado ou Tentado,Idade do agressor,Período do dia
2025-BR-0013,Imprensa,1,rio bonito do iguacu,4122156,Residência do casal,28,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,1,,Consumado,52,Incerto/Desconhecido
2025-BR-0070,SINESP,1,doutor camargo,4107306,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-0075,SINESP,1,faxinal,4107603,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-0204,Imprensa,1,arapongas,4101507,Casa do agressor,22,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Sim,,2,Tentado,NA,Noite
2025-BR-0205,Imprensa,1,arapongas,4101507,Casa do agressor,37,Membro da família por afiliação,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-0242,Imprensa,1,guaira,4108809,Outra habitação,31,Ex-companheiro/ex-coabitante,Arma branca,Sim,1,,Consumado,NA,Noite
2025-BR-0251,Imprensa,1,palmeira,4117701,Outro,30,Ex-companheiro/ex-coabitante,Incerto/Desconhecido,Sim,1,,Consumado,32,Incerto/Desconhecido
2025-BR-0265,Imprensa,1,sao jeronimo da serra,4124707,Casa da vítima,28,Ex-companheiro/ex-coabitante,Asfixia/Enforcamento,Sim,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-0275,Imprensa,1,ponta grossa,4119905,Incerto/Desconhecido,NA,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-0278,Imprensa,1,apucarana,4101408,Residência do casal,40,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-0284,Imprensa,1,castro,4104907,"Espaço público (rua, praça, parque, bar)",21,Ex-companheiro/ex-coabitante,Arma de fogo,Incerto/Desconhecido,,2,Tentado,32,Noite
2025-BR-0295,Imprensa,1,curitiba,4106902,Incerto/Desconhecido,49,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-0304,Imprensa,1,matinhos,4115705,"Espaço público (rua, praça, parque, bar)",NA,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,,2,Tentado,30,Dia
2025-BR-0328,Imprensa,1,campo largo,4104204,Residência do casal,25,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-0330,Imprensa,1,cascavel,4104808,"Espaço público (rua, praça, parque, bar)",51,Ex-companheiro/ex-coabitante,Arma branca,Não,1,,Consumado,40,Noite
2025-BR-0340,Imprensa,1,jesuitas,4112751,Outro,17,Membro da família por afiliação,Incerto/Desconhecido,Não,1,,Consumado,19,Dia
2025-BR-0349,Imprensa,1,cascavel,4104808,Casa da vítima,27,Incerto/Desconhecido,Arma de fogo,Incerto/Desconhecido,1,,Consumado,NA,Dia
2025-BR-0356,Imprensa,1,cascavel,4104808,Incerto/Desconhecido,22,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-0360,Imprensa,1,medianeira,4115804,Casa do agressor,45,Outro vínculo,Desmembramento/esquartejamento,Incerto/Desconhecido,1,,Consumado,23,Incerto/Desconhecido
2025-BR-0374,Imprensa,1,jataizinho,4112702,Outro,27,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,1,,Consumado,18,Noite
2025-BR-0377,Imprensa,1,guaratuba,4109609,Casa da vítima,NA,Conhecido,Arma de fogo,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-0390,Imprensa,1,campo mourao,4104303,Local de trabalho da vítima,23,Incerto/Desconhecido,Arma de fogo,Não,1,,Consumado,NA,Dia
2025-BR-0393,Imprensa,1,foz do iguacu,4108304,"Espaço público (rua, praça, parque, bar)",20,Ex-companheiro/ex-coabitante,Arma de fogo,Incerto/Desconhecido,,2,Tentado,26,Noite
2025-BR-0394,Imprensa,1,foz do iguacu,4108304,"Espaço público (rua, praça, parque, bar)",28,Conhecido,Arma de fogo,Incerto/Desconhecido,,2,Tentado,26,Noite
2025-BR-0402,Imprensa,1,apucarana,4101408,Outro,30,Parceiro/coabitante/vínculo sexual emocional,Atropelamento com veículo,Incerto/Desconhecido,1,,Consumado,37,Noite
